Year,Player,Tm
1991,Michael Jordan,CHI
1992,Michael Jordan,CHI
1993,Charles Barkley,PHO
1994,Hakeem Olajuwon,HOU
1995,David Robinson,SAS
1996,Michael Jordan,CHI
1997,Karl Malone,UTA
1998,Michael Jordan,CHI
1999,Karl Malone,UTA
2000,Shaquille O'Neal,LAL
2001,Allen Iverson,PHI
2002,Tim Duncan,SAS
2003,Tim Duncan,SAS
2004,Kevin Garnett,MIN
2005,Steve Nash,PHO
2006,Steve Nash,PHO
2007,Dirk Nowitzki,DAL
2008,Kobe Bryant,LAL
2009,LeBron James,CLE
2010,LeBron James,CLE
2011,Derrick Rose,CHI
2012,LeBron James,MIA
2013,LeBron James,MIA
2014,Kevin Durant,OKC
2015,Stephen Curry,GSW
2016,Stephen Curry,GSW
2017,Russell Westbrook,OKC
2018,James Harden,HOU
2019,Giannis Antetokounmpo,MIL
2020,Giannis Antetokounmpo,MIL
2021,Nikola JokiÄ‡,DEN
